depth,rop,wob,temp_out,rpm,gpm
85.18,56.8,0,93.49,151.09,1109.58
86.18,61.14,0,93.52,151.09,1108.36
87.23,18.58,0,94.25,61.54,1102.87
88.26,38.29,0,94.44,60.23,1101.04
89.36,394.38,0,94.48,61.75,1102.46
90.39,413.16,0,94.52,61.99,1101.85
91.39,450.72,0.76,94.52,62.07,1102.06
92.39,600.96,0,94.52,61.95,1102.26
93.49,399.5,0,94.55,61.42,1099.21
94.59,563.4,0,94.55,59.57,1102.87
95.65,638.52,0,94.55,59.33,1103.48
96.68,743.69,0,94.55,58.67,1100.43
97.75,348.28,2.13,94.55,56.05,1103.28
99.5,100,0,90.89,0,0
101.35,147.35,0,90.89,0,469.14
102.51,54.86,0,90.78,53.92,1068.03
103.51,180.29,0,90.78,0,1068.02
104.57,106.42,0,90.67,0,1065.78
105.67,147.35,0,86.81,61.38,1062.73
106.76,492.98,0,86.93,61.42,1066.8
107.92,694.86,0,86.89,69.53,1067.21
109.11,611.7,0,86.62,75.19,1063.95
110.27,833.83,0,86.47,82.32,1066.39
111.33,766.22,0,86.4,85.11,1064.77
112.37,694.86,0,86.24,88.43,1067.21
113.37,515.1,0,85.94,82.28,1067.61
114.5,368.77,2.82,85.86,97.45,1066.39
115.53,247.9,0,85.25,99.25,1069.44
116.56,492.97,0,84.91,92.49,1069.65
117.63,348.28,0.61,84.76,89.82,1073.92
118.69,294.7,0,84.41,83.27,1073.92
119.69,450.72,0,84.22,83.1,1074.73
120.72,619.74,0,84.07,79.54,1072.9
121.73,25.75,0,91.89,34.03,1013.96
122.73,171.71,0,92.42,45.18,986.74
123.82,187.8,0,92.88,122,932.62
124.86,371.84,0,92.99,132.42,927.32
125.86,200.32,0,92.95,106.34,924.67
126.89,127.71,0,93.18,47.27,924.88
127.99,197.19,0,93.11,46.17,918.17
129.05,147.35,0,92.99,33.17,977.91
130.11,212.84,0,93.14,58.92,977.28
132.05,676.09,0,89.25,116.76,1068.07
133.3,751.2,0,89.41,121.59,1069.08
134.33,137.72,0,89.71,127.66,1072.54
135.34,348.28,0,89.79,124.26,1071.32
136.34,492.98,0,89.83,122.66,1076.2
137.34,450.71,0,89.9,124.22,1073.36
138.43,563.39,0,89.98,129.09,1073.16
139.56,676.08,0,90.05,129.71,1079.86
140.56,721.15,0,90.02,125.57,1078.64
141.69,676.08,0,90.02,122.21,1079.46
142.85,833.85,0,90.05,124.63,1083.73
144.13,513.32,0,90.28,130.69,1084.95
145.32,713.64,0,90.28,129.83,1085.36
146.35,619.74,0,90.09,124.75,1086.98
147.42,478.89,0,89.94,120.49,1087.19
148.64,732.42,0,89.75,116.88,1086.99
149.77,507.06,0,89.45,110.61,1088.82
150.95,713.64,0,89.25,110.28,1087.59
151.96,515.11,0,88.99,117.49,1087.6
153.05,788.75,0,88.84,117.95,1087.19
